id,spec1,spec2,spec3,spec4,spec5,spec6,productData_id
1,"# of Cores : 10","# of Threads : 20","Processor Base Frequency : 3.70GHz","Max Turbo Frequency : 4.5GHz","Cache : 19.25 MB Intel® Smart Cache","Bus Speed : 8 GT/s DMI3",1
2,"# of Cores : 16","# of Threads : 32","Base Clock : 3.5GHz","Max Boost Clock : Up to 4.7GHz","Unlocked : Yes","CMOS : TSMC 7nm FinFET",2
3,"# of Cores : 2","# of Threads : 4","Processor Base Frequency : 3.70GHz","TDP : 51 W","Cache : 3 MB Intel® Smart Cache","Bus Speed : 8 GT/s",3
4,"# of Cores : 18","# of Threads : 36","Processor Base Frequency : 2.60GHz","Max Turbo Frequency : 4.20GHz","Cache : 24.75","Bus Speed : 8 GT/s",4
5,"# of Cores : 8","# of Threads : 16","Base Clock : 3.7GHz","Max Boost Clock : Up to 4.3GHz","Package : AM4","CMOS : 12nm FinFET",5
6,"# of Cores : 8","# of Threads : 8","Processor Base Frequency : 3.60GHz","Max Turbo Frequency : 4.90GHz","Cache : 12 MB Intel® Smart Cache","Bus Speed : 8 GT/s",6
7,"# of Cores : 6","# of Threads : 12","Base Clock : 3.6GHz","Max Boost Clock : Up to 4.2GHz","Unlocked : Yes","CMOS : TSMC 7nm FinFET",7
8,"Supported CPUs : Intel® 8th Generation Socket LGA1151 Core i3/i5/i7","Socket Type : Intel® Socket LGA1151","Memory Type : DDR4 2667MHz","Memory Capacity : 32GB","DIMM QTY : 2 DIMM Dual-Channe","SATA 6.0Gb/s Ports/Controller : 4 / Intel® H370 PCH",8
9,"# of Cores : 6","# of Threads : 6","Processor Base Frequency : 3.60GHz","Max Turbo Frequency : 4.20GHz","Cache : 6 MB Intel® Smart Cache","Bus Speed : 8 GT/s",9
10,"# of Cores : 6","# of Threads : 6","Processor Base Frequency : 2.90GHz","Max Turbo Frequency : 4.10GHz","Cache : 9 MB Intel® Smart Cache","Bus Speed : 8 GT/s",10
11,"# of Cores : 2","# of Threads : 2","Base Clock : 3.5GHz","Max Boost Clock : Up to 3.8GHz","TDP : 65W","Socket : FM2+",11
12,"# of Cores : 4","# of Cores : 4","Base Clock : 3.6GHz","Max Boost Clock : Up to 4.0GHz","# of GPU Cores : 8","Package : AM4",12
13,"GRAPHICS PROCESSING UNIT : Radeon™ RX 580","INTERFACE : PCI Express x16 ","CORES : 2304 Units","CORE CLOCKS : up to 1366 MHz","MEMORY SPEED : 8000 MHz","MEMORY : 8GB GDDR5",13
14,"Chipset : Radeon RX570","Stream Processors : 2‎048","Memory Clock : 7000MHz","Memory Size : 4 GB","Memory Type : GDDR5","Memory Bus : 2‎56 bit",14
15,"Graphics Engine : NVIDIA GeForce GTX 1050 TI","Bus Standard : PCI Express 3.0","OpenGL : OpenGL®4.5","Video Memory : GDDR5 4GB","Memory Clock : 7008 MHz","Memory Interface : 128-bit",15
16,"Video Memory : 4GB GDDR5","Memory Bus : 128-bit","Memory Clock : 7 GHz","PCI Express : 3.0","HDCP Support : Yes","Power Consumption : 75W",16
17,"GPU : GeForce® GT 730","CUDA Cores : 384","Video Memory : 4GB DDR3","Memory Bus : 64-bit","Engine Clock : 902 MHz","Memory Clock : 1600 MHz",17
18,"MODEL NAME : GeForce® GTX 1650 GAMING X 4G","GRAPHICS PROCESSING UNIT : NVIDIA® GeForce® GTX 1650","INTERFACE : PCI Express x16 3.0","CORES : 896 Units","CORE CLOCKS : Boost: 1860 MHz","MEMORY : 4GB GDDR5",18
19,"Graphic Engine : NVIDIA® GeForce GT 710","Video Memory : 2GB GDDR5","Engine Clock : 954 MHz","CUDA Core : 192","Memory Speed : 5012 MHz","Memory Interface : 64-bit",19
